id_achat,id_livre,id_utilisateur,id_bibliotheque,date_achat,quantite,montant_total_dt
1,105,24,4,2025-07-28,5,562.45
2,119,31,3,2025-05-27,1,70.78
3,184,75,9,2025-09-25,4,248.84
4,107,124,8,2025-02-02,3,212.55
5,117,142,3,2024-01-14,2,36.56
6,49,131,3,2025-02-17,4,361.16
7,71,107,6,2024-05-03,1,98.88
8,69,1,5,2024-02-14,5,127.1
9,151,149,8,2024-08-17,3,71.13
10,115,138,8,2025-07-30,2,183.08
11,86,142,9,2025-05-23,3,48.78
12,117,83,4,2024-04-03,4,73.12
13,147,99,4,2024-07-05,2,178.28
14,12,82,8,2025-03-12,4,342.8
15,99,39,8,2025-07-21,4,133.8
16,33,129,10,2024-04-05,1,59.91
17,26,113,2,2024-08-27,3,226.8
18,117,4,3,2024-10-27,5,91.4
19,168,40,2,2024-05-26,4,147.72
20,68,87,10,2025-03-29,4,124.28
21,167,21,6,2024-10-05,4,127.6
22,98,82,8,2025-05-25,5,597.85
23,10,18,4,2024-05-10,5,343.8
24,59,24,7,2024-08-22,3,207.96
25,195,26,8,2024-01-06,1,109.53
26,178,77,1,2024-03-16,2,46.7
27,84,15,5,2025-04-14,1,16.29
28,96,111,3,2025-02-05,3,134.34
29,136,106,10,2024-03-18,2,92.22
30,44,45,2,2024-03-23,2,35.22
31,98,62,8,2025-10-07,5,597.85
32,37,60,8,2025-08-22,5,384.95
33,118,66,1,2024-10-04,3,210.03
34,74,140,3,2025-03-02,4,413.44
35,114,89,10,2024-07-17,1,80.08
36,164,109,5,2023-11-23,3,249.06
37,78,51,7,2025-09-04,4,447.68
38,28,61,7,2025-07-09,4,150.64
39,92,148,5,2024-12-20,5,360.85
40,6,102,5,2025-06-26,3,239.79
41,145,13,10,2024-02-19,1,38.02
42,74,59,10,2024-04-13,4,413.44
43,57,49,10,2025-05-02,3,139.05
44,174,36,2,2025-05-13,3,313.95
45,80,113,1,2023-12-20,1,71.13
46,94,34,2,2025-02-27,5,181.3
47,84,107,3,2025-09-03,3,48.87
48,34,139,6,2023-12-08,2,77.94
49,129,70,3,2025-05-11,5,418.45
50,124,76,6,2024-06-02,3,321.75
51,120,20,3,2024-10-04,1,14.6
52,174,102,9,2025-07-05,2,209.3
53,24,102,1,2024-11-03,3,45.54
54,138,32,8,2025-05-17,3,161.88
55,173,68,10,2025-01-03,3,246.51
56,164,96,2,2025-06-04,4,332.08
57,121,7,10,2024-03-17,2,233.88
58,84,57,2,2024-06-28,5,81.45
59,180,78,7,2023-12-05,4,302.0
60,36,12,1,2024-05-29,1,78.78
61,127,30,2,2025-08-17,3,38.19
62,138,35,7,2025-04-28,2,107.92
63,95,139,7,2025-08-07,4,335.56
64,191,40,7,2025-04-15,5,260.65
65,126,105,5,2024-09-18,1,27.88
66,177,95,4,2024-12-02,1,15.52
67,114,61,6,2024-02-01,4,320.32
